County,Year,Cases,Rate
SAN BERNARDINO,2002,17,0.9
SAN BERNARDINO,2003,15,0.8
SAN BERNARDINO,2004,27,1.4
SAN BERNARDINO,2005,35,1.8
SAN BERNARDINO,2006,33,1.7
SAN BERNARDINO,2007,24,1.2
SAN BERNARDINO,2008,23,1.1
SAN BERNARDINO,2009,38,1.9
SAN BERNARDINO,2010,71,3.5
SAN BERNARDINO,2011,50,2.4
SAN BERNARDINO,2012,59,2.8
SAN BERNARDINO,2013,49,2.3
SAN BERNARDINO,2014,33,1.6
SAN BERNARDINO,2015,29,1.4
SAN BERNARDINO,2016,38,1.8
SAN BERNARDINO,2017,88,4.1
SAN BERNARDINO,2018,97,4.5
SAN BERNARDINO,2019,229,10.5
SAN BERNARDINO,2020,233,10.7
SAN BERNARDINO,2021,250,11.4
SAN BERNARDINO,2022,229,10.5
SAN DIEGO,2001,57,2.0
SAN DIEGO,2002,59,2.0
SAN DIEGO,2003,55,1.9
SAN DIEGO,2004,62,2.1
SAN DIEGO,2005,73,2.5
SAN DIEGO,2006,53,1.8
SAN DIEGO,2007,82,2.7
SAN DIEGO,2008,136,4.5
SAN DIEGO,2009,135,4.4
SAN DIEGO,2010,137,4.4
SAN DIEGO,2011,148,4.7
SAN DIEGO,2012,139,4.4
SAN DIEGO,2013,93,2.9
SAN DIEGO,2014,88,2.7
SAN DIEGO,2015,113,3.5
SAN DIEGO,2016,132,4.0
SAN DIEGO,2017,274,8.4
SAN DIEGO,2018,276,8.4
SAN DIEGO,2019,417,12.7
SAN DIEGO,2020,461,14.0
SAN DIEGO,2021,448,13.6
SAN DIEGO,2022,415,12.7
SAN FRANCISCO,2001,3,0.4
SAN FRANCISCO,2002,0,
SAN FRANCISCO,2003,3,0.4
SAN FRANCISCO,2004,6,0.8
SAN FRANCISCO,2005,3,0.4
SAN FRANCISCO,2006,7,0.9
SAN FRANCISCO,2007,7,0.9
SAN FRANCISCO,2008,0,
SAN FRANCISCO,2009,0,
SAN FRANCISCO,2010,4,0.5
SAN FRANCISCO,2011,9,1.1
SAN FRANCISCO,2012,3,0.4
SAN FRANCISCO,2013,18,2.1
SAN FRANCISCO,2014,4,0.5
SAN FRANCISCO,2015,13,1.5
SAN FRANCISCO,2016,7,0.8
SAN FRANCISCO,2017,14,1.6
SAN FRANCISCO,2018,12,1.4
SAN FRANCISCO,2019,25,2.9
SAN FRANCISCO,2020,18,2.1
SAN FRANCISCO,2021,29,3.5
SAN FRANCISCO,2022,18,2.2
SAN JOAQUIN,2001,11,1.9
SAN JOAQUIN,2002,20,3.3
SAN JOAQUIN,2003,17,2.7
SAN JOAQUIN,2004,28,4.4
SAN JOAQUIN,2005,26,4.0
SAN JOAQUIN,2006,39,5.9
SAN JOAQUIN,2007,47,7.0
SAN JOAQUIN,2008,34,5.0
SAN JOAQUIN,2009,28,4.1
SAN JOAQUIN,2010,55,8.0
SAN JOAQUIN,2011,111,16.0
SAN JOAQUIN,2012,73,10.4
SAN JOAQUIN,2013,51,7.2
SAN JOAQUIN,2014,61,8.5
SAN JOAQUIN,2015,97,13.3
SAN JOAQUIN,2016,191,25.8
SAN JOAQUIN,2017,204,27.2
SAN JOAQUIN,2018,242,31.9
SAN JOAQUIN,2019,281,36.4
SAN JOAQUIN,2020,134,17.2
SAN JOAQUIN,2021,117,14.9
SAN JOAQUIN,2022,104,13.3
SAN LUIS OBISPO,2001,45,17.9
SAN LUIS OBISPO,2002,46,18.1
SAN LUIS OBISPO,2003,68,26.6
SAN LUIS OBISPO,2004,94,36.4
SAN LUIS OBISPO,2005,90,34.6
SAN LUIS OBISPO,2006,174,66.5
SAN LUIS OBISPO,2007,83,31.4
SAN LUIS OBISPO,2008,81,30.4
SAN LUIS OBISPO,2009,78,29.1
SAN LUIS OBISPO,2010,164,60.8
SAN LUIS OBISPO,2011,172,63.3
SAN LUIS OBISPO,2012,108,39.3
SAN LUIS OBISPO,2013,53,19.2
SAN LUIS OBISPO,2014,27,9.7
SAN LUIS OBISPO,2015,65,23.2
SAN LUIS OBISPO,2016,259,91.9
SAN LUIS OBISPO,2017,439,155.6
SAN LUIS OBISPO,2018,347,122.6
SAN LUIS OBISPO,2019,268,94.8
SAN LUIS OBISPO,2020,178,63.0
SAN LUIS OBISPO,2021,173,62.1
SAN LUIS OBISPO,2022,144,51.5
SAN MATEO,2001,3,0.4
SAN MATEO,2002,10,1.4
SAN MATEO,2003,0,
SAN MATEO,2004,5,0.7
SAN MATEO,2005,4,0.6
SAN MATEO,2006,7,1.0
SAN MATEO,2007,8,1.1
SAN MATEO,2008,6,0.8
SAN MATEO,2009,6,0.8
SAN MATEO,2010,6,0.8
SAN MATEO,2011,9,1.2
SAN MATEO,2012,16,2.2
SAN MATEO,2013,10,1.3
SAN MATEO,2014,3,0.4
SAN MATEO,2015,5,0.7
SAN MATEO,2016,4,0.5
SAN MATEO,2017,18,2.4
SAN MATEO,2018,16,2.1
SAN MATEO,2019,27,3.5
SAN MATEO,2020,17,2.2
SAN MATEO,2021,22,2.9
SAN MATEO,2022,22,3.0
SANTA BARBARA,2001,10,2.5
SANTA BARBARA,2002,11,2.7
SANTA BARBARA,2003,8,2.0
SANTA BARBARA,2004,13,3.2
SANTA BARBARA,2005,25,6.1
SANTA BARBARA,2006,26,6.3
SANTA BARBARA,2007,16,3.8
SANTA BARBARA,2008,11,2.6
SANTA BARBARA,2009,18,4.3
SANTA BARBARA,2010,36,8.5
SANTA BARBARA,2011,19,4.5
SANTA BARBARA,2012,24,5.6
SANTA BARBARA,2013,23,5.3
SANTA BARBARA,2014,15,3.4
SANTA BARBARA,2015,25,5.7
SANTA BARBARA,2016,62,14.0
SANTA BARBARA,2017,115,25.8
SANTA BARBARA,2018,107,23.9
SANTA BARBARA,2019,75,16.7
SANTA BARBARA,2020,62,13.8
SANTA BARBARA,2021,66,15.0
SANTA BARBARA,2022,41,9.3
SANTA CLARA,2001,12,0.7
SANTA CLARA,2002,7,0.4
SANTA CLARA,2003,6,0.4
SANTA CLARA,2004,9,0.5
SANTA CLARA,2005,6,0.4
SANTA CLARA,2006,30,1.8
SANTA CLARA,2007,51,2.9
SANTA CLARA,2008,22,1.3
SANTA CLARA,2009,16,0.9
SANTA CLARA,2010,29,1.6
SANTA CLARA,2011,29,1.6
SANTA CLARA,2012,26,1.4
SANTA CLARA,2013,17,0.9
SANTA CLARA,2014,12,0.6
SANTA CLARA,2015,17,0.9
SANTA CLARA,2016,39,2.0
SANTA CLARA,2017,40,2.1
SANTA CLARA,2018,77,4.0
SANTA CLARA,2019,78,4.0
SANTA CLARA,2020,44,2.3
SANTA CLARA,2021,65,3.4
SANTA CLARA,2022,84,4.5
SANTA CRUZ,2001,1,0.4
SANTA CRUZ,2002,1,0.4
SANTA CRUZ,2003,0,
SANTA CRUZ,2004,0,
SANTA CRUZ,2005,1,0.4
SANTA CRUZ,2006,2,0.8
SANTA CRUZ,2007,4,1.6
SANTA CRUZ,2008,2,0.8
SANTA CRUZ,2009,3,1.1
SANTA CRUZ,2010,5,1.9
SANTA CRUZ,2011,3,1.1
SANTA CRUZ,2012,10,3.7
SANTA CRUZ,2013,5,1.8
SANTA CRUZ,2014,3,1.1
SANTA CRUZ,2015,1,0.4
SANTA CRUZ,2016,9,3.3
SANTA CRUZ,2017,9,3.3
SANTA CRUZ,2018,14,5.1
SANTA CRUZ,2019,21,7.7
SANTA CRUZ,2020,3,1.1
SANTA CRUZ,2021,17,6.5
SANTA CRUZ,2022,16,6.0
SHASTA,2001,3,1.8
SHASTA,2002,0,
SHASTA,2003,0,
SHASTA,2004,0,
SHASTA,2005,0,
SHASTA,2006,0,
SHASTA,2007,0,
SHASTA,2008,0,
SHASTA,2009,2,1.1
SHASTA,2010,1,0.6
SHASTA,2011,2,1.1
SHASTA,2012,0,
SHASTA,2013,0,
SHASTA,2014,1,0.6
SHASTA,2015,0,
SHASTA,2016,2,1.1
SHASTA,2017,0,
SHASTA,2018,0,
SHASTA,2019,0,
SHASTA,2020,1,0.5
SHASTA,2021,0,
SHASTA,2022,0,
SIERRA,2001,0,
SIERRA,2002,0,
SIERRA,2003,0,
SIERRA,2004,0,
SIERRA,2005,0,
SIERRA,2006,0,
SIERRA,2007,0,
SIERRA,2008,0,
SIERRA,2009,0,
SIERRA,2010,0,
SIERRA,2011,0,
SIERRA,2012,0,
SIERRA,2013,0,
SIERRA,2014,0,
SIERRA,2015,0,
SIERRA,2016,0,
SIERRA,2017,0,
SIERRA,2018,0,
SIERRA,2019,0,
SIERRA,2020,0,
SIERRA,2021,0,
SIERRA,2022,0,
SISKIYOU,2001,0,
SISKIYOU,2002,0,
SISKIYOU,2003,0,
SISKIYOU,2004,0,
SISKIYOU,2005,1,2.2
SISKIYOU,2006,0,
SISKIYOU,2007,1,2.2
SISKIYOU,2008,0,
SISKIYOU,2009,1,2.2
SISKIYOU,2010,0,
SISKIYOU,2011,0,
SISKIYOU,2012,0,
SISKIYOU,2013,1,2.2
SISKIYOU,2014,0,
SISKIYOU,2015,0,
SISKIYOU,2016,2,4.5
SISKIYOU,2017,2,4.5
SISKIYOU,2018,0,
SISKIYOU,2019,1,2.3
SISKIYOU,2020,2,4.5
SISKIYOU,2021,0,
SISKIYOU,2022,1,2.3
SOLANO,2001,3,0.7
SOLANO,2002,0,
SOLANO,2003,0,
SOLANO,2004,1,0.2
SOLANO,2005,2,0.5
SOLANO,2006,11,2.7
SOLANO,2007,6,1.5
SOLANO,2008,11,2.7
SOLANO,2009,2,0.5
SOLANO,2010,10,2.4
SOLANO,2011,15,3.6
SOLANO,2012,8,1.9
SOLANO,2013,6,1.4
SOLANO,2014,5,1.2
SOLANO,2015,19,4.4
SOLANO,2016,16,3.6
SOLANO,2017,18,4.0
SOLANO,2018,17,3.8
SOLANO,2019,34,7.5
SOLANO,2020,22,4.9
SOLANO,2021,34,7.6
SOLANO,2022,27,6.1
SONOMA,2001,0,
SONOMA,2002,0,
SONOMA,2003,3,0.6
SONOMA,2004,0,
SONOMA,2005,1,0.2
SONOMA,2006,0,
SONOMA,2007,2,0.4
SONOMA,2008,0,
SONOMA,2009,0,
SONOMA,2010,1,0.2
SONOMA,2011,4,0.8
SONOMA,2012,4,0.8
SONOMA,2013,1,0.2
SONOMA,2014,5,1.0
SONOMA,2015,1,0.2
SONOMA,2016,2,0.4
SONOMA,2017,3,0.6
SONOMA,2018,3,0.6
SONOMA,2019,12,2.4
SONOMA,2020,7,1.4
SONOMA,2021,20,4.1
SONOMA,2022,10,2.1
STANISLAUS,2001,4,0.9
STANISLAUS,2002,16,3.4
STANISLAUS,2003,16,3.3
STANISLAUS,2004,17,3.5
STANISLAUS,2005,15,3.0
STANISLAUS,2006,19,3.8
STANISLAUS,2007,19,3.7
STANISLAUS,2008,15,2.9
STANISLAUS,2009,18,3.5
STANISLAUS,2010,52,10.1
STANISLAUS,2011,58,11.2
STANISLAUS,2012,62,11.8
STANISLAUS,2013,39,7.4
STANISLAUS,2014,36,6.8
STANISLAUS,2015,48,9.0
STANISLAUS,2016,81,15.0
STANISLAUS,2017,122,22.3
STANISLAUS,2018,76,13.8
STANISLAUS,2019,81,14.7
STANISLAUS,2020,67,12.1
STANISLAUS,2021,86,15.6
STANISLAUS,2022,63,11.5
SUTTER,2001,1,1.2
SUTTER,2002,1,1.2
SUTTER,2003,0,
SUTTER,2004,0,
SUTTER,2005,2,2.3
SUTTER,2006,1,1.1
SUTTER,2007,0,
SUTTER,2008,0,
SUTTER,2009,0,
SUTTER,2010,1,1.1
SUTTER,2011,1,1.1
SUTTER,2012,1,1.1
SUTTER,2013,1,1.0
SUTTER,2014,0,
SUTTER,2015,0,
SUTTER,2016,1,1.0
SUTTER,2017,3,3.1
SUTTER,2018,0,
SUTTER,2019,4,4.0
SUTTER,2020,1,1.0
SUTTER,2021,1,1.0
SUTTER,2022,0,
TEHAMA,2001,2,3.5
TEHAMA,2002,0,
TEHAMA,2003,0,
TEHAMA,2004,0,
TEHAMA,2005,0,
TEHAMA,2006,0,
TEHAMA,2007,0,
TEHAMA,2008,0,
TEHAMA,2009,0,
TEHAMA,2010,0,
TEHAMA,2011,0,
TEHAMA,2012,1,1.6
TEHAMA,2013,1,1.6
TEHAMA,2014,1,1.6
TEHAMA,2015,0,
TEHAMA,2016,1,1.6
TEHAMA,2017,0,
TEHAMA,2018,1,1.5
TEHAMA,2019,2,3.1
TEHAMA,2020,3,4.6
TEHAMA,2021,2,3.1
TEHAMA,2022,1,1.5
TRINITY,2001,0,
TRINITY,2002,0,
TRINITY,2003,0,
TRINITY,2004,0,
TRINITY,2005,0,
TRINITY,2006,0,
TRINITY,2007,0,
TRINITY,2008,0,
TRINITY,2009,1,7.3
TRINITY,2010,0,
TRINITY,2011,0,
TRINITY,2012,0,
TRINITY,2013,0,
TRINITY,2014,0,
TRINITY,2015,0,
TRINITY,2016,0,
TRINITY,2017,0,
TRINITY,2018,1,6.3
TRINITY,2019,0,
TRINITY,2020,0,
TRINITY,2021,0,
TRINITY,2022,0,
TULARE,2001,74,19.8
TULARE,2002,89,23.3
TULARE,2003,143,36.6
TULARE,2004,158,39.5
TULARE,2005,125,30.6
TULARE,2006,196,47.1
TULARE,2007,172,40.6
TULARE,2008,201,46.6
TULARE,2009,229,52.2
TULARE,2010,194,43.9
TULARE,2011,129,28.8
TULARE,2012,155,34.4
TULARE,2013,116,25.6
TULARE,2014,109,23.9
TULARE,2015,121,26.3
TULARE,2016,249,53.9
TULARE,2017,290,62.3
TULARE,2018,287,61.4
TULARE,2019,418,88.8
TULARE,2020,309,65.4
TULARE,2021,317,66.8
TULARE,2022,312,65.7
TUOLUMNE,2001,2,3.6
TUOLUMNE,2002,1,1.8
TUOLUMNE,2003,1,1.8
TUOLUMNE,2004,3,5.3
TUOLUMNE,2005,0,
TUOLUMNE,2006,6,10.6
TUOLUMNE,2007,3,5.3
TUOLUMNE,2008,0,
TUOLUMNE,2009,3,5.4
TUOLUMNE,2010,1,1.8
TUOLUMNE,2011,3,5.4
TUOLUMNE,2012,6,11.0
TUOLUMNE,2013,0,
TUOLUMNE,2014,0,
TUOLUMNE,2015,1,1.8
TUOLUMNE,2016,6,10.9
TUOLUMNE,2017,6,10.9
TUOLUMNE,2018,2,3.6
TUOLUMNE,2019,1,1.8
TUOLUMNE,2020,2,3.6
TUOLUMNE,2021,1,1.8
TUOLUMNE,2022,2,3.7
VENTURA,2001,21,2.7
VENTURA,2002,10,1.3
VENTURA,2003,43,5.4
VENTURA,2004,84,10.6
VENTURA,2005,26,3.3
VENTURA,2006,28,3.5
VENTURA,2007,73,9.1
VENTURA,2008,46,5.7
VENTURA,2009,51,6.2
VENTURA,2010,64,7.8
VENTURA,2011,34,4.1
VENTURA,2012,90,10.7
VENTURA,2013,39,4.6
VENTURA,2014,42,5.0
VENTURA,2015,48,5.6
VENTURA,2016,65,7.6
VENTURA,2017,257,30.2
VENTURA,2018,231,27.2
VENTURA,2019,371,43.9
VENTURA,2020,266,31.5
VENTURA,2021,186,22.2
VENTURA,2022,235,28.3
YOLO,2001,1,0.6
YOLO,2002,2,1.1
YOLO,2003,2,1.1
YOLO,2004,3,1.6
YOLO,2005,1,0.5
YOLO,2006,2,1.0
YOLO,2007,1,0.5
YOLO,2008,2,1.0
YOLO,2009,4,2.0
YOLO,2010,5,2.5
YOLO,2011,4,2.0
YOLO,2012,3,1.5
YOLO,2013,0,
YOLO,2014,3,1.4
YOLO,2015,4,1.9
YOLO,2016,6,2.8
YOLO,2017,4,1.9
YOLO,2018,3,1.4
YOLO,2019,16,7.4
YOLO,2020,9,4.1
YOLO,2021,8,3.7
YOLO,2022,5,2.2
YUBA,2001,0,
YUBA,2002,0,
YUBA,2003,0,
YUBA,2004,0,
YUBA,2005,1,1.5
YUBA,2006,0,
YUBA,2007,0,
YUBA,2008,2,2.8
YUBA,2009,0,
YUBA,2010,0,
YUBA,2011,1,1.4
YUBA,2012,0,
YUBA,2013,1,1.3
YUBA,2014,0,
YUBA,2015,0,
YUBA,2016,0,
YUBA,2017,3,3.8
YUBA,2018,2,2.5
YUBA,2019,5,6.2
YUBA,2020,2,2.4
YUBA,2021,2,2.4
YUBA,2022,2,2.4
