,County,Year,Cases
1255,TEHAMA,2002,0
1256,TEHAMA,2003,0
1257,TEHAMA,2004,0
1258,TEHAMA,2005,0
1259,TEHAMA,2006,0
1260,TEHAMA,2007,0
1261,TEHAMA,2008,0
1262,TEHAMA,2009,0
1263,TEHAMA,2010,0
1264,TEHAMA,2011,0
1265,TEHAMA,2012,1
1266,TEHAMA,2013,1
1267,TEHAMA,2014,1
1268,TEHAMA,2015,0
1269,TEHAMA,2016,1
1270,TEHAMA,2017,0
1271,TEHAMA,2018,1
1272,TEHAMA,2019,2
1273,TEHAMA,2020,3
1274,TEHAMA,2021,2
1275,TEHAMA,2022,1
1298,TULARE,2001,74
1299,TULARE,2002,89
1300,TULARE,2003,143
1301,TULARE,2004,158
1302,TULARE,2005,125
1303,TULARE,2006,196
1304,TULARE,2007,172
1305,TULARE,2008,201
1306,TULARE,2009,229
1307,TULARE,2010,194
1308,TULARE,2011,129
1309,TULARE,2012,155
1310,TULARE,2013,116
1311,TULARE,2014,109
1312,TULARE,2015,121
1313,TULARE,2016,249
1314,TULARE,2017,290
1315,TULARE,2018,287
1316,TULARE,2019,418
1317,TULARE,2020,309
1318,TULARE,2021,317
1319,TULARE,2022,312
1320,TUOLUMNE,2001,2
1321,TUOLUMNE,2002,1
1322,TUOLUMNE,2003,1
1323,TUOLUMNE,2004,3
1324,TUOLUMNE,2005,0
1325,TUOLUMNE,2006,6
1326,TUOLUMNE,2007,3
1327,TUOLUMNE,2008,0
1328,TUOLUMNE,2009,3
1329,TUOLUMNE,2010,1
1330,TUOLUMNE,2011,3
1331,TUOLUMNE,2012,6
1332,TUOLUMNE,2013,0
1333,TUOLUMNE,2014,0
1334,TUOLUMNE,2015,1
1335,TUOLUMNE,2016,6
1336,TUOLUMNE,2017,6
1337,TUOLUMNE,2018,2
1338,TUOLUMNE,2019,1
1339,TUOLUMNE,2020,2
1340,TUOLUMNE,2021,1
1341,TUOLUMNE,2022,2
1342,VENTURA,2001,21
1343,VENTURA,2002,10
1344,VENTURA,2003,43
1345,VENTURA,2004,84
1346,VENTURA,2005,26
1347,VENTURA,2006,28
1348,VENTURA,2007,73
1349,VENTURA,2008,46
1350,VENTURA,2009,51
1351,VENTURA,2010,64
1352,VENTURA,2011,34
1353,VENTURA,2012,90
1354,VENTURA,2013,39
1355,VENTURA,2014,42
1356,VENTURA,2015,48
1357,VENTURA,2016,65
1358,VENTURA,2017,257
1359,VENTURA,2018,231
1360,VENTURA,2019,371
1361,VENTURA,2020,266
1362,VENTURA,2021,186
1363,VENTURA,2022,235
1364,YOLO,2001,1
1365,YOLO,2002,2
1366,YOLO,2003,2
1367,YOLO,2004,3
1368,YOLO,2005,1
1369,YOLO,2006,2
1370,YOLO,2007,1
1371,YOLO,2008,2
1372,YOLO,2009,4
1373,YOLO,2010,5
1374,YOLO,2011,4
1375,YOLO,2012,3
1376,YOLO,2013,0
1377,YOLO,2014,3
1378,YOLO,2015,4
1379,YOLO,2016,6
1380,YOLO,2017,4
1381,YOLO,2018,3
1382,YOLO,2019,16
1383,YOLO,2020,9
1384,YOLO,2021,8
1385,YOLO,2022,5
1386,YUBA,2001,0
1387,YUBA,2002,0
1388,YUBA,2003,0
1389,YUBA,2004,0
1390,YUBA,2005,1
1391,YUBA,2006,0
1392,YUBA,2007,0
1393,YUBA,2008,2
1394,YUBA,2009,0
1395,YUBA,2010,0
1396,YUBA,2011,1
1397,YUBA,2012,0
1398,YUBA,2013,1
1399,YUBA,2014,0
1400,YUBA,2015,0
1401,YUBA,2016,0
1402,YUBA,2017,3
1403,YUBA,2018,2
1404,YUBA,2019,5
1405,YUBA,2020,2
1406,YUBA,2021,2
1407,YUBA,2022,2
